Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Match Report
2023-08-12,Sat,DFB-Pokal,Round of 64,Away,W 8–0,Leverkusen,FC Teutonia Ottensen,Y,AM,69,1,0,0,0,2,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
2023-08-19,Sat,Bundesliga,Matchweek 1,Home,W 3–2,Leverkusen,RB Leipzig,Y,AM,74,1,0,0,0,2,2,0,0,42,0,0,1,0.4,0.4,0.0,2,0,25,34,73.5,3,25,5,4,1,Match Report
2023-08-26,Sat,Bundesliga,Matchweek 2,Away,W 3–0,Leverkusen,Gladbach,Y,AM,90,0,1,0,0,1,1,0,0,95,1,0,1,0.0,0.0,1.2,14,2,61,78,78.2,14,48,5,3,1,Match Report
2023-09-02,Sat,Bundesliga,Matchweek 3,Home,W 5–1,Leverkusen,Darmstadt 98,Y,AM,79,0,1,0,0,2,1,0,0,76,0,0,0,0.1,0.1,0.7,6,2,51,62,82.3,8,50,3,6,3,Match Report
2023-09-09,Sat,Friendlies (M),Friendlies (M),Home,L 1–4,de Germany,jp Japan,Y,AM,72,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
2023-09-12,Tue,Friendlies (M),Friendlies (M),Home,W 2–1,de Germany,fr France,Y,AM,77,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
2023-09-15,Fri,Bundesliga,Matchweek 4,Away,D 2–2,Leverkusen,Bayern Munich,Y,AM,89,0,0,0,0,1,0,1,0,78,1,0,1,0.3,0.3,0.2,6,1,53,64,82.8,13,47,2,6,3,Match Report
2023-09-21,Thu,Europa Lg,Group stage,Home,W 4–0,de Leverkusen,se Häcken,Y,FW,71,1,1,0,0,2,1,0,0,46,0,0,1,0.8,0.8,0.4,7,1,33,39,84.6,3,24,5,1,1,Match Report
2023-09-24,Sun,Bundesliga,Matchweek 5,Home,W 4–1,Leverkusen,Heidenheim,Y,AM,70,0,0,0,0,3,1,0,0,66,2,0,1,0.3,0.3,0.1,6,0,50,56,89.3,6,45,0,2,2,Match Report
2023-09-30,Sat,Bundesliga,Matchweek 6,Away,W 3–0,Leverkusen,Mainz 05,Y,AM,63,0,0,0,0,0,0,0,0,33,1,0,1,0.0,0.0,0.0,0,0,22,26,84.6,2,18,3,5,4,Match Report
2023-10-05,Thu,Europa Lg,Group stage,Away,W 2–1,de Leverkusen,no Molde,N,LW,8,0,0,0,0,0,0,0,0,8,1,0,0,0.0,0.0,0.4,1,0,5,5,100.0,2,7,1,3,2,Match Report
2023-10-08,Sun,Bundesliga,Matchweek 7,Home,W 3–0,Leverkusen,Köln,Y,AM,70,0,1,0,0,5,3,0,0,65,1,0,0,0.2,0.2,0.3,3,1,42,50,84.0,2,29,6,4,2,Match Report
2023-10-14,Sat,Friendlies (M),Friendlies (M),Away,W 3–1,de Germany,us United States,Y,AM,61,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
2023-10-17,Tue,Friendlies (M),Friendlies (M),Neutral,D 2–2,de Germany,mx Mexico,Y,AM,64,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
2023-10-21,Sat,Bundesliga,Matchweek 8,Away,W 2–1,Leverkusen,Wolfsburg,N,AM,31,0,0,0,0,2,0,0,0,35,0,0,0,0.1,0.1,0.0,1,0,26,30,86.7,6,29,2,4,3,Match Report
2023-10-26,Thu,Europa Lg,Group stage,Home,W 5–1,de Leverkusen,az Qarabağ,Y,AM,69,1,3,0,0,2,2,1,0,67,0,2,1,0.4,0.4,0.6,10,3,44,53,83.0,8,47,12,7,3,Match Report
2023-10-29,Sun,Bundesliga,Matchweek 9,Home,W 2–1,Leverkusen,Freiburg,Y,AM,89,1,1,0,0,3,3,0,0,69,0,1,1,0.3,0.3,0.3,7,2,49,55,89.1,5,50,7,9,3,Match Report
